measure,location,sex,age,metric,year,val,upper,lower
Life expectancy,Canada,Female,65-69 years,Years,2019,22.460771598604495,22.521155508283794,22.397199696312025
Life expectancy,Canada,Male,65-69 years,Years,2020,19.545987712191284,19.61016091335167,19.48137250045081
Life expectancy,Canada,Female,65-69 years,Years,2020,22.10067199494501,22.16390361771208,22.036505184598585
Life expectancy,Canada,Male,65-69 years,Years,2021,19.410300398949385,19.50198668424433,19.3085465089795
Life expectancy,Canada,Female,65-69 years,Years,2021,22.210569278200847,22.297071056657987,22.123968782435664
Life expectancy,Iraq,Male,75-79 years,Years,2012,9.78009385358797,10.988155447010774,8.748074470602793
Life expectancy,Iraq,Female,75-79 years,Years,2012,11.042803897094068,12.222818757622786,9.884754656673785
Life expectancy,Iraq,Male,75-79 years,Years,2013,9.818496022293425,10.993749830917258,8.789872642816254
Life expectancy,Iraq,Female,75-79 years,Years,2013,11.0958355089049,12.23133311525983,9.956770152210188
Life expectancy,Iraq,Male,75-79 years,Years,2014,9.843039865623526,11.063838793770895,8.800364013034113
Life expectancy,Iraq,Female,75-79 years,Years,2014,11.123248484103753,12.247309072700993,9.996487353638923
Life expectancy,Iraq,Male,75-79 years,Years,2015,9.855248659460242,11.10414599211053,8.825332345540774
Life expectancy,Iraq,Female,75-79 years,Years,2015,11.165418053016845,12.294702509011179,10.010243576263237
Life expectancy,Iraq,Male,75-79 years,Years,2016,9.878087385920072,11.12079707478005,8.831544303270022
Life expectancy,Iraq,Female,75-79 years,Years,2016,11.210522160068878,12.312490127815424,10.032340273553006
Life expectancy,Iraq,Male,75-79 years,Years,2017,9.888418023114864,11.152742661478458,8.811074707987878
Life expectancy,Iraq,Female,75-79 years,Years,2017,11.248681062536901,12.34146605218076,10.05240375124589
Life expectancy,Iraq,Male,75-79 years,Years,2018,9.515021864480268,10.753371690591482,8.548963821631533
Life expectancy,Iraq,Female,75-79 years,Years,2018,10.938598215692279,11.960223139834273,9.852231564698458
Life expectancy,Iraq,Male,75-79 years,Years,2019,9.029322169828005,10.168166882035838,8.186629342286356
Life expectancy,Iraq,Female,75-79 years,Years,2019,10.484138293279344,11.424877820989407,9.537234357200777
Life expectancy,Iraq,Male,75-79 years,Years,2020,6.651544855048396,7.387286524405009,6.16019988012099
Life expectancy,Iraq,Female,75-79 years,Years,2020,8.532486472814712,9.044249033124169,8.034421342156099
Life expectancy,Iraq,Male,75-79 years,Years,2021,6.8797051200832335,7.744345179278819,6.2975685264700285
Life expectancy,Iraq,Female,75-79 years,Years,2021,8.812170366727276,9.44251406666142,8.241805862563977
Life expectancy,Jordan,Male,20-24 years,Years,2012,59.77249077801859,61.20140188352069,58.378750496555455
Life expectancy,Jordan,Female,20-24 years,Years,2012,59.15340220725614,60.03893023595392,58.257677638947534
Life expectancy,Jordan,Male,20-24 years,Years,2013,60.0162287565309,61.55988632827577,58.56984483389662
Life expectancy,Jordan,Female,20-24 years,Years,2013,59.437324787597376,60.38127398262588,58.544459025863986
Life expectancy,Jordan,Male,20-24 years,Years,2014,60.331110587231855,61.857669515755624,58.90457087701913
Life expectancy,Jordan,Female,20-24 years,Years,2014,59.70501190970412,60.66210454082625,58.79792143817143
Life expectancy,Jordan,Male,20-24 years,Years,2015,60.65980696849045,62.20186575169322,59.171961593934085
Life expectancy,Jordan,Female,20-24 years,Years,2015,60.34531516408321,61.326805813756465,59.43209257830838
Life expectancy,Jordan,Male,20-24 years,Years,2016,60.96535200131242,62.44865785252038,59.45617411687607
Life expectancy,Jordan,Female,20-24 years,Years,2016,60.613733147695854,61.62388067907499,59.70647075683346
Life expectancy,Jordan,Male,20-24 years,Years,2017,61.34288317290475,62.947953435808486,59.694882907786834
Life expectancy,Jordan,Female,20-24 years,Years,2017,60.96694762428891,61.99006257233749,59.9381403518258
Life expectancy,Jordan,Male,20-24 years,Years,2018,61.62578578078829,63.331747058514864,59.802216305565636
Life expectancy,Jordan,Female,20-24 years,Years,2018,61.47850471727382,62.64773820598564,60.28990238559416
Life expectancy,Jordan,Male,20-24 years,Years,2019,61.603612701392876,63.46282637381196,59.663796224794176
Life expectancy,Jordan,Female,20-24 years,Years,2019,61.64325123933831,62.92560543801794,60.34978336678993
Life expectancy,Jordan,Male,20-24 years,Years,2020,57.3341159155357,59.22577294098057,55.65648913778801
Life expectancy,Jordan,Female,20-24 years,Years,2020,59.59538509319583,60.93022841837302,58.24220220469782
Life expectancy,Jordan,Male,20-24 years,Years,2021,55.37542263365684,57.12813840207098,53.76585554943578
Life expectancy,Jordan,Female,20-24 years,Years,2021,58.618288779598515,59.97736267216783,57.292032531751694
Life expectancy,Jordan,Male,25-29 years,Years,2012,54.98326877647886,56.39399438706234,53.60707030235421
Life expectancy,Jordan,Female,25-29 years,Years,2012,54.24364621529306,55.119796390733704,53.358189865362704
Life expectancy,Jordan,Male,25-29 years,Years,2013,55.223603440957135,56.750790301153586,53.79481443181683
Life expectancy,Jordan,Female,25-29 years,Years,2013,54.52395481157624,55.45813624038798,53.64094570044233
Life expectancy,Jordan,Male,25-29 years,Years,2014,55.532000222127245,57.04190044132952,54.121861706175096
Life expectancy,Jordan,Female,25-29 years,Years,2014,54.79021319365378,55.73753063183635,53.89303271904064
Life expectancy,Jordan,Male,25-29 years,Years,2015,55.855605751863735,57.381186313900656,54.38429067636488
Life expectancy,Jordan,Female,25-29 years,Years,2015,55.433714335223,56.404834021436415,54.53077144454478
Life expectancy,Jordan,Male,25-29 years,Years,2016,56.16718602208331,57.63477256253037,54.673906363201056
Life expectancy,Jordan,Female,25-29 years,Years,2016,55.702230272567505,56.7018860744926,54.80482985778674
Life expectancy,Jordan,Male,25-29 years,Years,2017,56.5350430470101,58.122763049126775,54.907245619848624
Life expectancy,Jordan,Female,25-29 years,Years,2017,56.04949767329236,57.062738090868486,55.03161084064914
Life expectancy,Jordan,Male,25-29 years,Years,2018,56.806720860483225,58.494261560802094,55.00266020606066
Life expectancy,Jordan,Female,25-29 years,Years,2018,56.5533533216261,57.712322295235424,55.375885899428894
Life expectancy,Jordan,Male,25-29 years,Years,2019,56.78037079957986,58.62123960361966,54.86145672536445
Life expectancy,Jordan,Female,25-29 years,Years,2019,56.714517050113635,57.98610896156629,55.432739278871225
Life expectancy,Jordan,Male,25-29 years,Years,2020,52.514055457377225,54.39771319197207,50.85005951709556
Life expectancy,Jordan,Female,25-29 years,Years,2020,54.682910187844534,56.005088334372076,53.346720160197535
Life expectancy,Jordan,Male,25-29 years,Years,2021,50.55772563331334,52.313168604587624,48.94728609163925
Life expectancy,Jordan,Female,25-29 years,Years,2021,53.712177236674314,55.0607470588642,52.392712177765276
Life expectancy,Jordan,Male,30-34 years,Years,2012,50.205065045112754,51.60221740309184,48.839174636110435
Life expectancy,Jordan,Female,30-34 years,Years,2012,49.34575154493622,50.21016792822734,48.473216583982534
Life expectancy,Jordan,Male,30-34 years,Years,2013,50.44287483175403,51.95908651472549,49.02636423782636
Life expectancy,Jordan,Female,30-34 years,Years,2013,49.6245238326369,50.54619161012547,48.75426757238272
Life expectancy,Jordan,Male,30-34 years,Years,2014,50.74672422617748,52.244990405739465,49.34668030939857
Life expectancy,Jordan,Female,30-34 years,Years,2014,49.889031645837,50.82385105011364,49.004644172209424
Life expectancy,Jordan,Male,30-34 years,Years,2015,51.0660736817092,52.58000291980413,49.605632781907374
Life expectancy,Jordan,Female,30-34 years,Years,2015,50.52935022838688,51.48809195723904,49.638808777276736
Life expectancy,Jordan,Male,30-34 years,Years,2016,51.377454424955786,52.834462529371145,49.89565546932395
Life expectancy,Jordan,Female,30-34 years,Years,2016,50.79471000942409,51.7821624255465,49.90901830382785
Life expectancy,Jordan,Male,30-34 years,Years,2017,51.73909012565965,53.31548981292835,50.12717810281429
Life expectancy,Jordan,Female,30-34 years,Years,2017,51.13636954516657,52.13799639726359,50.13139924412097
Life expectancy,Jordan,Male,30-34 years,Years,2018,52.00363655477528,53.677525691851635,50.21424894196539
Life expectancy,Jordan,Female,30-34 years,Years,2018,51.63936899548006,52.785269280413424,50.4764014687647
Life expectancy,Jordan,Male,30-34 years,Years,2019,51.97518921763278,53.80371391763603,50.07191609632942
Life expectancy,Jordan,Female,30-34 years,Years,2019,51.80120718622151,53.05838378963474,50.535348473547835
Life expectancy,Jordan,Male,30-34 years,Years,2020,47.73121138892333,49.602121870930745,46.07709571636276
Life expectancy,Jordan,Female,30-34 years,Years,2020,49.78797228181823,51.093504783227836,48.472960517183765
Life expectancy,Jordan,Male,30-34 years,Years,2021,45.78765985270797,47.53425074269292,44.184228327468645
Life expectancy,Jordan,Female,30-34 years,Years,2021,48.828204274518306,50.16223508456274,47.520199441046195
Life expectancy,Jordan,Male,35-39 years,Years,2012,45.4366741433762,46.81888908202819,44.082278913356255
Life expectancy,Jordan,Female,35-39 years,Years,2012,44.4724208808288,45.32264087140539,43.615422033248436
Life expectancy,Jordan,Male,35-39 years,Years,2013,45.67184096575342,47.1757376239793,44.269338339001024
Life expectancy,Jordan,Female,35-39 years,Years,2013,44.74578683986304,45.65275706380699,43.890477439237934
Life expectancy,Jordan,Male,35-39 years,Years,2014,45.97114834232205,47.45619013254923,44.584044772097286
Life expectancy,Jordan,Female,35-39 years,Years,2014,45.00489688730165,45.92531346734334,44.13516661969447
Life expectancy,Jordan,Male,35-39 years,Years,2015,46.28616928679176,47.787754163206095,44.838101177767896
Life expectancy,Jordan,Female,35-39 years,Years,2015,45.6387591322741,46.58367889867871,44.76203891836325
Life expectancy,Jordan,Male,35-39 years,Years,2016,46.59568062193281,48.04200202642615,45.12697970907113
Life expectancy,Jordan,Female,35-39 years,Years,2016,45.89809505868675,46.872142861553165,45.02538877603938
Life expectancy,Jordan,Male,35-39 years,Years,2017,46.951343249435354,48.51676725102952,45.35294967238924
Life expectancy,Jordan,Female,35-39 years,Years,2017,46.23378125624261,47.222498128588654,45.2430362029791
Life expectancy,Jordan,Male,35-39 years,Years,2018,47.20941410808255,48.868462796904346,45.437072720192866
Life expectancy,Jordan,Female,35-39 years,Years,2018,46.740248366748226,47.87115419132004,45.59406925723623
Life expectancy,Jordan,Male,35-39 years,Years,2019,47.17951333675463,48.995281910493865,45.29426786876821
Life expectancy,Jordan,Female,35-39 years,Years,2019,46.90507308841841,48.14537631570295,45.657852418406954
Life expectancy,Jordan,Male,35-39 years,Years,2020,42.99226733092463,44.83830071778498,41.352586365612346
Life expectancy,Jordan,Female,35-39 years,Years,2020,44.917002072746556,46.20215033663246,43.62559414228149
Life expectancy,Jordan,Male,35-39 years,Years,2021,41.07992859453186,42.79991219777875,39.495061803531755
Life expectancy,Jordan,Female,35-39 years,Years,2021,43.97397140040515,45.28542693679884,42.68232483784001
Life expectancy,Jordan,Male,40-44 years,Years,2012,40.70909510796266,42.07011393843902,39.37279203338638
Life expectancy,Jordan,Female,40-44 years,Years,2012,39.63689192970895,40.469285337856796,38.79924913469254
Life expectancy,Jordan,Male,40-44 years,Years,2013,40.93961141162222,42.42399497738965,39.55846530307204
Life expectancy,Jordan,Female,40-44 years,Years,2013,39.90638548769154,40.794559771583636,39.07012813080653
Life expectancy,Jordan,Male,40-44 years,Years,2014,41.23221521809739,42.69714705295865,39.865142335972095
Life expectancy,Jordan,Female,40-44 years,Years,2014,40.15811599563031,41.06016063383228,39.30701665246637
Life expectancy,Jordan,Male,40-44 years,Years,2015,41.54082981415043,43.02382721319261,40.11266650842296
Life expectancy,Jordan,Female,40-44 years,Years,2015,40.77298988013142,41.701521487145214,39.912613019710214
Life expectancy,Jordan,Male,40-44 years,Years,2016,41.845716064808755,43.275654932070935,40.39737101649709
Life expectancy,Jordan,Female,40-44 years,Years,2016,41.02640828666489,41.98431843583952,40.16928571383362
Life expectancy,Jordan,Male,40-44 years,Years,2017,42.193524345281304,43.74061093123648,40.61700645768523
Life expectancy,Jordan,Female,40-44 years,Years,2017,41.35332251352681,42.32670672786199,40.379350496409245
Life expectancy,Jordan,Male,40-44 years,Years,2018,42.44414393299131,44.08177549552045,40.69738552588975
Life expectancy,Jordan,Female,40-44 years,Years,2018,41.84684900430603,42.9623689309262,40.71783005841741
Life expectancy,Jordan,Male,40-44 years,Years,2019,42.41266556791027,44.208569543308286,40.5547746205789
Life expectancy,Jordan,Female,40-44 years,Years,2019,42.006715268937704,43.231040697634,40.77713382444118
Life expectancy,Jordan,Male,40-44 years,Years,2020,38.30531276578518,40.11707374784864,36.691423522629194
Life expectancy,Jordan,Female,40-44 years,Years,2020,40.07281479419983,41.33354981887048,38.80732575027105
Life expectancy,Jordan,Male,40-44 years,Years,2021,36.43659271974135,38.11857791057672,34.87992188538989
Life expectancy,Jordan,Female,40-44 years,Years,2021,39.1553243729177,40.43686438084308,37.884490035762454
Life expectancy,Jordan,Male,45-49 years,Years,2012,36.03780361901064,37.36919287954716,34.72959113084755
Life expectancy,Jordan,Female,45-49 years,Years,2012,34.83786465973985,35.64908355120301,34.02300002880204
Life expectancy,Jordan,Male,45-49 years,Years,2013,36.26144910021539,37.716765072074175,34.911185218087766
Life expectancy,Jordan,Female,45-49 years,Years,2013,35.10767062120322,35.97300473429202,34.29450788938865
Life expectancy,Jordan,Male,45-49 years,Years,2014,36.54480189987121,37.97957642893674,35.20702134225088
Life expectancy,Jordan,Female,45-49 years,Years,2014,35.35477725356785,36.2339904454614,34.526766971823996
Life expectancy,Jordan,Male,45-49 years,Years,2015,36.844463222121476,38.29975162297042,35.445727046979755
Life expectancy,Jordan,Female,45-49 years,Years,2015,35.94284705401928,36.85126453727809,35.1024943158164
Life expectancy,Jordan,Male,45-49 years,Years,2016,37.141867540756046,38.546128371620256,35.72332731305132
Life expectancy,Jordan,Female,45-49 years,Years,2016,36.19180786946292,37.12944710920142,35.354200404327905
Life expectancy,Jordan,Male,45-49 years,Years,2017,37.47938079454313,38.99893299429525,35.934174371940465
Life expectancy,Jordan,Female,45-49 years,Years,2017,36.52094702898694,37.47345024709546,35.56963784613357
Life expectancy,Jordan,Male,45-49 years,Years,2018,37.72130711839054,39.32954778441194,36.011413263331264
Life expectancy,Jordan,Female,45-49 years,Years,2018,37.01574447540715,38.107560001875754,35.91301615791215
Life expectancy,Jordan,Male,45-49 years,Years,2019,37.68832008591489,39.45329281488167,35.86985598538871
Life expectancy,Jordan,Female,45-49 years,Years,2019,37.17600409524334,38.374497436831284,35.97500178915827
Life expectancy,Jordan,Male,45-49 years,Years,2020,33.70600852155233,35.4686541207733,32.13569546474069
Life expectancy,Jordan,Female,45-49 years,Years,2020,35.303912029128995,36.53327637143605,34.07245870934525
Life expectancy,Jordan,Male,45-49 years,Years,2021,31.90452933420829,33.527746305434725,30.391733053379223
Life expectancy,Jordan,Female,45-49 years,Years,2021,34.42596193028546,35.6648108037454,33.18729956146764
Life expectancy,Jordan,Male,50-54 years,Years,2012,31.49389724876041,32.780069308815115,30.23121316525907
Life expectancy,Jordan,Female,50-54 years,Years,2012,30.12362550244444,30.905381329216393,29.340240619464225
Life expectancy,Jordan,Male,50-54 years,Years,2013,31.70528499849254,33.114213647816875,30.40339180682327
Life expectancy,Jordan,Female,50-54 years,Years,2013,30.388602304528845,31.222765382920933,29.60689362749144
Life expectancy,Jordan,Male,50-54 years,Years,2014,31.973729229551136,33.36266337977828,30.681688750173116
Life expectancy,Jordan,Female,50-54 years,Years,2014,30.63235718574492,31.48007104891522,29.836127517848492
Life expectancy,Jordan,Male,50-54 years,Years,2015,32.25885253327289,33.67008158162617,30.90620309915391
Life expectancy,Jordan,Female,50-54 years,Years,2015,31.208468327985337,32.08610618040537,30.398706810394685
Life expectancy,Jordan,Male,50-54 years,Years,2016,32.543145574644825,33.90683593226271,31.170317246589285
Life expectancy,Jordan,Female,50-54 years,Years,2016,31.451913328598035,32.35825775720467,30.644363028312036
Life expectancy,Jordan,Male,50-54 years,Years,2017,32.86503987450613,34.3415514031448,31.368709006384886
Life expectancy,Jordan,Female,50-54 years,Years,2017,31.782721317815625,32.70327381233725,30.865899777349185
Life expectancy,Jordan,Male,50-54 years,Years,2018,33.09438183196756,34.658181716613335,31.440491429622508
Life expectancy,Jordan,Female,50-54 years,Years,2018,32.28403770896225,33.33889973226028,31.222124328042227
Life expectancy,Jordan,Male,50-54 years,Years,2019,33.0588601653312,34.77505320652355,31.300170873510403
Life expectancy,Jordan,Female,50-54 years,Years,2019,32.4484328073719,33.60613776510486,31.2926132299065
Life expectancy,Jordan,Male,50-54 years,Years,2020,29.2261531283451,30.923534340007944,27.71426722818851
Life expectancy,Jordan,Female,50-54 years,Years,2020,30.643833285976626,31.82701806770563,29.46263305094398
Life expectancy,Jordan,Male,50-54 years,Years,2021,27.50466275991502,29.057524810655178,26.056902095969928
Life expectancy,Jordan,Female,50-54 years,Years,2021,29.812185173308425,30.994973322967645,28.62248646065014
Life expectancy,Jordan,Male,55-59 years,Years,2012,27.140865101636333,28.36255395014313,25.941379868290102
Life expectancy,Jordan,Female,55-59 years,Years,2012,25.576510843564346,26.31277023905408,24.841490080560128
Life expectancy,Jordan,Male,55-59 years,Years,2013,27.334107710194715,28.67732497475155,26.100632119549193
Life expectancy,Jordan,Female,55-59 years,Years,2013,25.796951401152654,26.586986212794375,25.05965196900831
Life expectancy,Jordan,Male,55-59 years,Years,2014,27.581472390519696,28.905691677332246,26.354408448478814
Life expectancy,Jordan,Female,55-59 years,Years,2014,26.017556668135736,26.822704253791304,25.264142582549745
Life expectancy,Jordan,Male,55-59 years,Years,2015,27.84583682372271,29.192811194606584,26.559795996631912
Life expectancy,Jordan,Female,55-59 years,Years,2015,26.59667604897173,27.43046836911832,25.830377043499414
Life expectancy,Jordan,Male,55-59 years,Years,2016,28.110787685059847,29.411323937789476,26.803702035674448
Life expectancy,Jordan,Female,55-59 years,Years,2016,26.82944620583933,27.691425048333787,26.064394653415704
Life expectancy,Jordan,Male,55-59 years,Years,2017,28.41080928599535,29.82649852241085,26.983388035753652
Life expectancy,Jordan,Female,55-59 years,Years,2017,27.14911490256492,28.026015624746094,26.279199575061153
Life expectancy,Jordan,Male,55-59 years,Years,2018,28.622368717206314,30.122701153358324,27.047276538800688
Life expectancy,Jordan,Female,55-59 years,Years,2018,27.63603423583008,28.643541948146222,26.626599473993245
Life expectancy,Jordan,Male,55-59 years,Years,2019,28.583356143459447,30.230585734933893,26.909381249567044
Life expectancy,Jordan,Female,55-59 years,Years,2019,27.796392897249557,28.903195411848987,26.696871433182572
Life expectancy,Jordan,Male,55-59 years,Years,2020,24.926608043670434,26.53914140272579,23.48860895963535
Life expectancy,Jordan,Female,55-59 years,Years,2020,26.088170171982508,27.211689742050293,24.970971319340325
Life expectancy,Jordan,Male,55-59 years,Years,2021,23.298571982047314,24.76714438825734,21.94014175046054
Life expectancy,Jordan,Female,55-59 years,Years,2021,25.308111589943252,26.422548103258475,24.187973541216564
Life expectancy,Jordan,Male,60-64 years,Years,2012,22.97904073597245,24.12356711119681,21.858893238790287
Life expectancy,Jordan,Female,60-64 years,Years,2012,21.12836477191964,21.812037752511596,20.448910785657077
Life expectancy,Jordan,Male,60-64 years,Years,2013,23.14894833356245,24.40921240549479,22.002093737625653
